"YLR044C"	"YHR174W"	"YPR035W"
"765_Glutamine"	33	22	2
"766_Glutamine"	25	20	1
"767_Glutamine"	67	54	2
"768_Glutamine"	21	16	5
"769_Glutamine"	27	17	1
"770_Glutamine"	25	15	0
"771_Glutamine"	7	5	3
"772_Glutamine"	20	15	1
"773_Glutamine"	30	19	0
"774_Glutamine"	22	9	2
"775_Glutamine"	17	11	1
"776_Glutamine"	47	13	0
"777_Glutamine"	59	6	0
"778_Glutamine"	61	4	1
"779_Glutamine"	37	44	14
"780_Glutamine"	24	11	0
"781_Glutamine"	7	8	2
"782_Glutamine"	32	13	1
"783_Glutamine"	5	2	2
"784_Glutamine"	27	17	4
"785_Glutamine"	51	28	0
"786_Glutamine"	29	20	0
"787_Glutamine"	47	10	1
"788_Glutamine"	68	67	5
"789_Glutamine"	40	27	0
"790_Glutamine"	9	10	5
"791_Glutamine"	23	14	1
"792_Glutamine"	84	91	4
"793_Glutamine"	8	4	0
"794_Glutamine"	38	22	6
"795_Glutamine"	10	8	2
"796_Glutamine"	12	4	0
"797_Glutamine"	14	16	1
"798_Glutamine"	65	71	5
"799_Glutamine"	7	3	0
"800_Glutamine"	27	11	0
"801_Glutamine"	2	5	1
"802_Glutamine"	36	37	2
"803_Glutamine"	26	25	7
"804_Glutamine"	8	3	1
"805_Glutamine"	38	30	1
"806_Glutamine"	23	20	4
"807_Glutamine"	10	6	0
"808_Glutamine"	11	2	0
"809_Glutamine"	10	14	0
"810_Glutamine"	45	20	1
"811_Glutamine"	26	39	2
"812_Glutamine"	6	3	2
"813_Glutamine"	146	23	5
"814_Glutamine"	21	21	0
"815_Glutamine"	41	26	4
"816_Glutamine"	12	17	6
"817_Glutamine"	82	48	2
"818_Glutamine"	34	42	1
"819_Glutamine"	8	3	3
"820_Glutamine"	17	7	0
"821_Glutamine"	15	9	2
"822_Glutamine"	23	14	3
"823_Glutamine"	44	22	1
"824_Glutamine"	10	1	2
"825_Glutamine"	72	17	5
"826_Glutamine"	25	6	0
"827_Glutamine"	18	11	1
"828_Glutamine"	28	27	5
"829_Glutamine"	8	7	2
"830_Glutamine"	8	5	0
"831_Glutamine"	30	17	1
"832_Glutamine"	26	4	2
"833_Glutamine"	13	13	2
"834_Glutamine"	78	24	5
"835_Glutamine"	4	2	0
"836_Glutamine"	28	29	0
"837_Glutamine"	4	5	0
"838_Glutamine"	15	11	1
"839_Glutamine"	20	11	2
"840_Glutamine"	52	51	4
"841_Glutamine"	4	2	1
"842_Glutamine"	14	12	0
"843_Glutamine"	7	3	1
"844_Glutamine"	15	25	0
"845_Glutamine"	68	29	2
"846_Glutamine"	34	4	1
"847_Glutamine"	19	6	2
"848_Glutamine"	12	8	0
"849_Glutamine"	17	21	0
"850_Glutamine"	54	4	2
"851_Glutamine"	19	13	2
"852_Glutamine"	26	36	2
"853_Glutamine"	17	12	3
"854_Glutamine"	46	24	0
"855_Glutamine"	25	13	2
"856_Glutamine"	31	18	1
"857_Glutamine"	39	20	0
"858_Glutamine"	31	13	1
"859_Glutamine"	10	8	1
"860_Glutamine"	28	26	0
"861_Glutamine"	46	42	6
"862_Glutamine"	82	65	7
"863_Glutamine"	22	6	1
"864_Glutamine"	10	5	1
"865_Glutamine"	39	48	2
"866_Glutamine"	24	17	3
"867_Glutamine"	17	28	4
