"YPD1"	"YPD2"	"YPD3"	"YPD4"	"YPD5"	"YPD6"	"RAPA1"	"RAPA2"	"RAPA3"	"RAPA4"	"RAPA5"	"RAPA6"
"YDR009W"	0	2	0	1	2	0	1	2	2	4	2	3
"YDR010C"	0	0	0	0	0	0	1	2	1	1	0	0
"YDR011W"	11	16	5	10	24	11	32	27	16	28	26	32
"YDR012W"	576	630	206	605	587	418	186	221	96	176	197	149
"YDR013W"	18	22	11	17	18	22	17	15	10	14	21	17
"YDR014W"	1	2	0	0	1	1	8	6	1	5	2	1
"YDR014W.A"	0	0	0	0	0	0	3	0	3	0	5	1
"YDR015C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR016C"	19	14	6	23	19	7	63	72	33	41	50	44
"YDR017C"	15	12	2	17	13	4	10	9	6	11	10	11
"YDR018C"	0	2	0	0	0	0	8	3	1	3	8	4
"YDR019C"	20	23	4	13	15	4	60	53	26	46	50	43
"YDR020C"	0	0	1	0	0	0	0	0	0	0	0	0
"YDR021W"	11	9	3	11	16	8	0	1	1	1	0	0
"YDR022C"	4	6	3	3	5	2	24	43	14	15	33	20
"YDR023W"	199	219	75	237	205	156	88	126	60	97	84	86
"YDR024W"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR025W"	2084	2231	769	2256	2158	1477	415	507	232	381	432	358
"YDR026C"	14	11	2	7	17	9	12	15	6	10	6	4
"YDR027C"	9	7	5	3	4	2	17	17	15	21	21	16
"YDR028C"	1	8	1	1	3	3	2	12	4	6	10	5
"YDR029W"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR030C"	3	2	0	2	3	4	7	6	1	3	4	1
"YDR031W"	9	14	2	12	9	10	18	25	5	22	18	23
"YDR032C"	63	86	24	61	82	45	209	307	126	217	263	207
"YDR033W"	186	232	75	195	199	141	281	348	163	259	341	189
"YDR034C"	14	11	3	16	11	9	25	28	7	30	33	35
"YDR034C.D"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR034C.C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR034C.A"	0	1	0	0	0	0	0	0	0	0	0	0
"YDR034W.B"	0	0	0	0	0	0	1	2	1	1	2	1
"YDR035W"	56	56	16	54	60	54	125	158	55	129	126	102
"YDR036C"	15	12	4	9	7	17	18	14	4	22	17	15
"YDR037W"	220	247	64	236	223	152	108	107	59	111	126	84
"YDR038C"	3	1	5	7	4	2	6	9	2	2	7	2
"YDR039C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR040C"	2	0	0	0	0	1	2	4	2	1	3	5
"YDR041W"	28	23	13	31	23	14	56	77	25	55	68	51
"YDR042C"	0	0	0	0	1	1	1	0	1	1	0	2
