Fabp7	Sox11	Cd24a
1.0	5.0	2.0
0.0	10.0	10.0
0.0	6.0	2.0
9.0	10.0	8.0
0.0	6.0	1.0
2.0	9.0	1.0
0.0	3.0	1.0
0.0	3.0	3.0
2.0	7.0	8.0
0.0	3.0	1.0
0.0	3.0	1.0
1.0	2.0	4.0
0.0	4.0	1.0
1.0	8.0	1.0
0.0	2.0	0.0
0.0	9.0	1.0
1.0	7.0	1.0
0.0	10.0	2.0
0.0	6.0	0.0
2.0	5.0	5.0
0.0	4.0	2.0
0.0	0.0	2.0
1.0	3.0	5.0
0.0	2.0	3.0
2.0	53.0	22.0
4.0	8.0	1.0
0.0	6.0	1.0
0.0	2.0	6.0
0.0	9.0	2.0
1.0	12.0	7.0
0.0	2.0	3.0
3.0	17.0	20.0
0.0	7.0	1.0
0.0	1.0	6.0
0.0	9.0	2.0
0.0	3.0	5.0
1.0	7.0	3.0
0.0	1.0	2.0
0.0	1.0	2.0
1.0	4.0	0.0
0.0	0.0	3.0
0.0	15.0	3.0
0.0	2.0	1.0
0.0	12.0	0.0
158.0	13.0	5.0
0.0	13.0	3.0
0.0	4.0	0.0
0.0	9.0	9.0
74.0	3.0	3.0
1.0	21.0	2.0
11.0	11.0	1.0
6.0	6.0	3.0
0.0	7.0	2.0
0.0	7.0	2.0
0.0	3.0	4.0
41.0	2.0	2.0
0.0	5.0	3.0
1.0	6.0	4.0
0.0	5.0	3.0
0.0	3.0	2.0
9.0	16.0	3.0
0.0	4.0	2.0
3.0	7.0	4.0
0.0	1.0	2.0
0.0	9.0	8.0
0.0	7.0	3.0
1.0	10.0	4.0
0.0	5.0	3.0
1.0	9.0	2.0
0.0	7.0	6.0
1.0	0.0	1.0
0.0	12.0	5.0
1.0	2.0	1.0
0.0	3.0	2.0
0.0	4.0	0.0
0.0	9.0	6.0
66.0	4.0	4.0
0.0	2.0	6.0
0.0	6.0	2.0
1.0	19.0	7.0
2.0	13.0	4.0
3.0	18.0	5.0
0.0	4.0	4.0
18.0	3.0	3.0
0.0	5.0	2.0
0.0	4.0	3.0
0.0	4.0	2.0
1.0	20.0	7.0
5.0	15.0	5.0
1.0	12.0	8.0
3.0	10.0	0.0
1.0	6.0	2.0
0.0	7.0	1.0
0.0	7.0	3.0
0.0	3.0	0.0
1.0	22.0	9.0
1.0	4.0	7.0
0.0	2.0	3.0
0.0	7.0	2.0
2.0	20.0	7.0
1.0	1.0	5.0
0.0	3.0	5.0
0.0	2.0	1.0
0.0	2.0	1.0
6.0	9.0	2.0
0.0	2.0	4.0
0.0	5.0	1.0
0.0	3.0	1.0
0.0	4.0	3.0
1.0	16.0	9.0
2.0	8.0	1.0
1.0	7.0	7.0
0.0	10.0	3.0
1.0	3.0	2.0
6.0	10.0	2.0
0.0	2.0	3.0
0.0	6.0	3.0
1.0	2.0	1.0
0.0	4.0	2.0
1.0	9.0	2.0
0.0	4.0	1.0
0.0	3.0	3.0
0.0	8.0	4.0
0.0	6.0	3.0
0.0	1.0	1.0
0.0	0.0	1.0
0.0	2.0	3.0
0.0	15.0	10.0
1.0	8.0	1.0
1.0	3.0	6.0
1.0	3.0	4.0
0.0	4.0	1.0
1.0	3.0	3.0
1.0	11.0	8.0
0.0	2.0	6.0
1.0	2.0	2.0
1.0	28.0	9.0
0.0	8.0	3.0
0.0	6.0	11.0
0.0	3.0	3.0
0.0	1.0	4.0
34.0	6.0	4.0
1.0	6.0	2.0
1.0	18.0	5.0
0.0	9.0	9.0
0.0	4.0	4.0
2.0	30.0	4.0
1.0	8.0	7.0
1.0	22.0	9.0
0.0	2.0	5.0
0.0	14.0	3.0
8.0	8.0	2.0
0.0	9.0	5.0
0.0	10.0	6.0
0.0	41.0	10.0
2.0	9.0	6.0
0.0	8.0	2.0
2.0	17.0	2.0
0.0	6.0	5.0
0.0	5.0	1.0
0.0	6.0	4.0
0.0	5.0	1.0
5.0	10.0	1.0
0.0	19.0	8.0
2.0	8.0	5.0
1.0	8.0	2.0
0.0	8.0	4.0
0.0	8.0	5.0
0.0	2.0	5.0
0.0	6.0	6.0
0.0	4.0	3.0
1.0	44.0	17.0
1.0	0.0	2.0
1.0	3.0	0.0
0.0	2.0	6.0
0.0	2.0	3.0
0.0	7.0	6.0
1.0	9.0	5.0
1.0	3.0	2.0
0.0	4.0	7.0
0.0	9.0	2.0
0.0	3.0	3.0
1.0	26.0	18.0
5.0	8.0	6.0
0.0	8.0	4.0
2.0	12.0	5.0
4.0	19.0	17.0
0.0	1.0	2.0
2.0	39.0	14.0
0.0	5.0	8.0
0.0	7.0	0.0
0.0	5.0	6.0
0.0	8.0	3.0
4.0	9.0	5.0
0.0	15.0	12.0
0.0	16.0	4.0
0.0	9.0	8.0
1.0	18.0	4.0
0.0	2.0	3.0
1.0	10.0	3.0
0.0	33.0	16.0
0.0	4.0	5.0
0.0	9.0	1.0
1.0	12.0	6.0
0.0	6.0	3.0
0.0	8.0	1.0
0.0	9.0	3.0
0.0	3.0	5.0
0.0	1.0	2.0
1.0	10.0	5.0
1.0	7.0	0.0
0.0	12.0	8.0
1.0	13.0	0.0
1.0	3.0	4.0
0.0	13.0	4.0
2.0	23.0	11.0
1.0	22.0	9.0
4.0	13.0	14.0
0.0	23.0	2.0
0.0	9.0	6.0
1.0	10.0	4.0
1.0	10.0	4.0
0.0	8.0	4.0
0.0	2.0	4.0
0.0	6.0	13.0
0.0	5.0	4.0
0.0	7.0	2.0
0.0	6.0	2.0
0.0	18.0	14.0
0.0	13.0	8.0
1.0	6.0	1.0
0.0	2.0	7.0
0.0	5.0	3.0
0.0	7.0	13.0
1.0	11.0	2.0
1.0	8.0	4.0
0.0	2.0	5.0
0.0	2.0	3.0
3.0	9.0	1.0
2.0	11.0	4.0
0.0	4.0	6.0
2.0	54.0	12.0
4.0	56.0	25.0
0.0	14.0	6.0
0.0	8.0	2.0
0.0	6.0	2.0
1.0	20.0	12.0
0.0	20.0	4.0
0.0	3.0	2.0
0.0	10.0	5.0
2.0	6.0	6.0
