"YLR044C"	"YHR174W"	"YPR035W"
"688_YPDRapa"	24	14	4
"689_YPDRapa"	47	49	7
"690_YPDRapa"	72	40	4
"691_YPDRapa"	18	30	10
"692_YPDRapa"	15	23	0
"693_YPDRapa"	18	12	1
"694_YPDRapa"	14	12	0
"695_YPDRapa"	13	45	6
"696_YPDRapa"	31	25	7
"697_YPDRapa"	31	19	1
"698_YPDRapa"	58	45	14
"699_YPDRapa"	51	48	12
"700_YPDRapa"	37	49	6
"701_YPDRapa"	40	24	6
"702_YPDRapa"	28	37	4
"703_YPDRapa"	34	26	4
"704_YPDRapa"	43	45	8
"705_YPDRapa"	17	35	4
"706_YPDRapa"	21	37	7
"707_YPDRapa"	63	70	23
"708_YPDRapa"	40	36	8
"709_YPDRapa"	64	41	8
"710_YPDRapa"	7	18	3
"711_YPDRapa"	35	24	9
"712_YPDRapa"	16	24	7
"713_YPDRapa"	21	27	10
"714_YPDRapa"	55	45	4
"715_YPDRapa"	36	36	5
"716_YPDRapa"	26	30	8
"717_YPDRapa"	22	25	7
"718_YPDRapa"	37	27	2
"719_YPDRapa"	7	18	3
"720_YPDRapa"	11	16	2
"721_YPDRapa"	10	14	3
"722_YPDRapa"	12	23	2
"723_YPDRapa"	19	22	5
"724_YPDRapa"	45	19	6
"725_YPDRapa"	56	59	10
"726_YPDRapa"	68	34	1
"727_YPDRapa"	67	59	7
"728_YPDRapa"	12	14	5
"729_YPDRapa"	11	23	1
"730_YPDRapa"	24	30	7
"731_YPDRapa"	16	16	3
"732_YPDRapa"	96	125	22
"733_YPDRapa"	31	52	11
"734_YPDRapa"	41	54	14
"735_YPDRapa"	31	33	0
"736_YPDRapa"	7	6	8
"737_YPDRapa"	16	15	5
"738_YPDRapa"	25	23	3
"739_YPDRapa"	33	43	10
"740_YPDRapa"	96	106	5
"741_YPDRapa"	23	15	0
"742_YPDRapa"	6	22	1
"743_YPDRapa"	1	8	2
"744_YPDRapa"	32	37	5
"745_YPDRapa"	30	21	5
"746_YPDRapa"	54	54	2
"747_YPDRapa"	18	27	7
"748_YPDRapa"	34	29	5
"749_YPDRapa"	38	43	10
"750_YPDRapa"	22	13	3
"751_YPDRapa"	18	20	7
"752_YPDRapa"	19	13	0
"753_YPDRapa"	33	35	6
"754_YPDRapa"	54	56	11
"755_YPDRapa"	17	27	9
"756_YPDRapa"	15	17	5
"757_YPDRapa"	16	15	0
"758_YPDRapa"	16	22	11
"759_YPDRapa"	36	50	4
"760_YPDRapa"	18	30	7
"761_YPDRapa"	26	41	7
"762_YPDRapa"	63	79	19
"763_YPDRapa"	15	11	9
"764_YPDRapa"	22	41	5
"765_YPDRapa"	18	16	4
"766_YPDRapa"	41	33	4
